pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit
10.049875,82,94,215,2160
10.049875,184,199,481,7345
10.049875,3898,7429,9931,7151
10.049875,220,2434,694,2496
10.198039,321,8456,1442,8306
10.198039,33,44,69,423
10.198039,53,52,171,6532
10.198039,17,21,41,22
10.29563,209,7475,879,2823
10.29563,113,8946,341,8876
10.440307,3920,7226,9915,7440
10.440307,1012,9360,3112,2596
10.440307,2674,5036,9445,7756
10.440307,3140,7564,9843,4935
10.440307,100,9969,378,163
10.630146,1810,6719,6899,6317
10.630146,478,3312,1811,773
10.630146,2842,6862,7881,6711
10.630146,546,8381,2157,8707
10.630146,58,4684,255,4821
10.770329,25,24,57,26
10.770329,1421,3685,7436,6002
10.770329,147,9707,454,418
10.770329,2269,6951,9028,7410
10.770329,187,203,960,870
10.770329,2079,8716,9801,8511
10.770329,873,1213,2898,8328
10.816654,44,103,133,9939
10.816654,550,8934,1903,2887
10.816654,276,9892,583,9841
10.816654,682,1005,1358,987
10.816654,546,848,2248,8883
11,36,3190,69,38
11,352,8901,1972,490
11.045361,85,102,204,179
11.045361,817,1476,4746,1030
11.045361,1151,5036,5292,8854
11.045361,827,1696,3407,1156
11.045361,39,9989,109,211
11.045361,547,5975,2627,2537
11.045361,257,336,964,6577
11.045361,343,8726,1275,1010
11.045361,49,60,145,131
11.045361,389,6892,901,650
11.045361,1191,5161,6224,8499
11.18034,1052,8968,3836,8853
11.18034,1764,6601,7264,9512
11.18034,430,491,1158,9920
11.18034,34,9994,72,4950
11.18034,26,7517,72,78
11.18034,2516,8386,6303,6855
11.18034,1294,6151,5857,2615
11.18034,52,9965,180,9978
11.18034,50,2632,189,51
11.18034,90,9968,439,96
11.18034,520,7248,2433,848
11.313708,2341,9638,6188,3467
11.313708,1237,2017,5953,7281
11.313708,785,968,3860,3485
11.313708,371,5687,1423,5704
11.313708,977,7421,5255,3895
11.401754,63,9936,259,9326
11.401754,409,1026,2238,9596
11.401754,311,8250,1049,352
11.401754,71,3636,206,73
11.401754,189,8283,853,8357
11.401754,275,2466,1261,3119
11.401754,1383,1898,5270,5396
11.401754,1115,5894,2902,1406
11.401754,61,5849,146,7249
11.401754,597,8143,2139,2326
11.401754,2849,4095,7519,4641
11.401754,1079,9702,2798,8600
11.401754,547,9363,1284,686
11.401754,75,9975,295,91
11.661903,3331,6965,9054,7576
11.661903,83,4065,288,4164
11.661903,2589,5548,9788,4219
11.661903,451,632,1354,9176
11.661903,225,9870,676,4766
11.7046995,1020,8893,4174,2367
11.7046995,84,9237,422,9428
11.7046995,2260,9904,1420,6828
11.7046995,972,1429,4205,8844
12,1873,7715,6406,6278
12,113,724,401,138
12.0415945,510,3524,1792,773
12.0415945,252,5472,821,9951
12.0415945,468,562,2478,504
12.0415945,572,9793,2545,5037
12.0415945,1232,8739,6094,4396
12.0415945,316,736,1476,6626
12.0415945,96,6907,352,1083
12.0415945,236,256,755,282
12.0415945,204,6440,697,6448
12.0415945,74,149,321,9984
12.0415945,116,480,460,498
12.0415945,280,460,1359,9773
12.0415945,2442,7497,7822,6571
12.083046,87,93,210,4693
12.083046,575,9772,2474,9841
12.083046,131,164,417,4255
12.083046,91,7735,247,114
12.083046,117,9849,497,143
12.083046,1999,6501,7407,4467
12.165525,203,667,564,237
12.165525,93,9426,244,9428
12.165525,1673,8002,4223,3455
12.165525,85,113,258,5334
12.165525,1777,3411,5735,4097
12.165525,243,8032,1185,760
12.206555,1086,2131,4968,9105
12.206555,3774,6411,9222,7172
12.206555,56,515,182,77
12.206555,174,7989,563,5951
12.206555,568,844,1442,817
12.369317,78,127,318,9942
12.369317,42,9708,141,178
12.369317,180,220,516,222
12.369317,104,1859,352,1653
12.369317,80,79,219,81
12.369317,1538,8002,4528,8976
12.369317,86,89,226,98
12.369317,118,929,235,902
12.369317,376,1443,2176,8988
12.369317,108,162,409,451
12.529964,60,152,185,8929
12.529964,40,43,119,50
12.649111,291,4864,1079,4855
12.649111,2679,6526,8500,8578
12.649111,71,6806,261,166
12.649111,111,3691,431,228
12.649111,79,98,159,105
12.649111,187,1982,454,1976
12.649111,351,4823,928,3347
12.649111,949,1195,4631,9057
12.727922,265,8190,746,8094
12.727922,3439,6466,8645,8561
12.727922,139,195,271,208
12.727922,1437,7269,6551,2058
12.806249,251,444,683,379
12.806249,2323,4698,7258,5127
12.806249,2373,4159,8721,4174
12.806249,3287,7875,9442,5743
12.806249,997,7243,4038,7315
12.806249,677,1041,3697,1532
12.806249,475,5269,1473,5721
12.806249,143,5210,513,5237
12.806249,1541,2220,7561,2061
12.806249,1181,7194,6389,2288
13,86,9916,289,9910
13,112,113,315,9848
13,306,9658,1537,989
13,276,9152,1370,1027
13,838,2485,3598,1195
13,94,1970,289,8133
13,26,28,93,1683
13,1044,1216,3636,1284
13,178,190,507,5210
13,220,9604,753,264
13.038404,865,1017,3331,1129
13.038404,69,5607,211,148
13.038404,1021,7528,3349,7267
13.038404,263,1267,1300,621
13.038404,1227,2469,5485,2047
13.038404,327,9044,1967,433
13.038404,69,4347,350,4348
13.038404,117,141,466,9954
13.038404,47,3073,147,49
13.038404,1383,8018,4407,2090
13.038404,111,9967,275,162
13.038404,167,218,417,179
13.038404,1109,7281,5753,8650
13.038404,387,447,1425,6034
13.038404,369,9767,1058,9523
13.038404,1343,2886,3988,1536
13.038404,113,155,364,9849
13.152946,2188,4741,8635,5290
13.152946,134,3192,346,3194
13.152946,406,780,899,1513
13.152946,68,141,212,2957
13.152946,194,9946,723,309
13.152946,206,7938,1019,2056
13.152946,146,5153,545,336
13.152946,182,242,896,233
13.341664,177,3729,910,3868
13.341664,43,8922,102,68
13.341664,2577,3756,9064,8407
13.341664,85,136,300,1481
13.341664,229,2912,1101,8173
13.341664,1399,3342,4885,4072
13.341664,83,4411,308,5560
13.341664,1307,4935,5934,2108
13.341664,1413,6449,7778,8220
13.341664,1139,7830,7175,2613
13.341664,975,1016,1759,1311
13.341664,847,1306,3859,6564
13.341664,135,168,608,141
13.416408,49,8511,122,112
13.416408,335,426,934,376
13.416408,149,484,469,170
13.453624,230,250,715,239
13.453624,82,9381,254,91
13.453624,176,1605,580,277
13.453624,100,348,382,124
13.453624,284,9778,1001,9839
13.601471,1708,9395,8666,8877
13.601471,764,8947,4425,8779
13.601471,584,1243,2633,8119
13.601471,460,930,1036,1024
13.601471,500,9036,1984,9385
13.601471,90,127,365,1765
13.601471,234,2948,672,2960
13.601471,50,590,149,9459
13.601471,1086,1487,4570,6887
13.601471,122,786,354,793
13.601471,1714,9157,5061,2196
13.601471,1768,3481,4838,2806
13.601471,66,138,191,85
13.892444,68,73,189,8585
13.892444,682,784,3425,890
13.892444,462,827,1511,9514
13.892444,712,992,2258,790
13.892444,112,118,352,2950
13.892444,226,9241,600,515
13.892444,1220,1773,2489,2103
13.892444,586,1070,1585,1316
13.928389,85,9342,252,9017
13.928389,111,512,501,5861
13.928389,243,391,1000,9858
13.928389,1569,1782,5586,4605
13.928389,285,613,1159,9409
13.928389,255,9875,879,9802
13.928389,741,1481,3600,1402
13.928389,103,125,403,5249
13.928389,545,9662,1660,2670
13.928389,1077,9775,3953,5599
14,395,2813,2151,831
14,55,677,219,7867
14.035668,416,9872,1723,9068
14.035668,812,5801,2724,5596
14.035668,58,9892,185,9893
14.035668,238,508,697,1792
14.035668,56,9646,177,9645
14.035668,1808,5962,5855,3310
14.142136,79,9911,337,127
14.142136,251,9799,945,410
14.142136,471,1885,1997,649
14.142136,163,2733,527,2730
14.142136,1829,4575,8466,6953
14.142136,457,883,1996,6041
14.142136,79,7731,196,7729
