pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit,,,,,,,,,,,,,
140.00714,2277,4319,4672,3297,,,,,,,,,,,,,
140.00714,1883,9350,4335,2014,,,,,,,,,,,,,
140.00714,1355,2615,8478,5129,,,,,,,,,,,,,
140.00714,3465,8362,9159,6621,,,,,,,,,,,,,
140.00714,1567,9026,3205,8685,,,,,,,,,,,,,
140.00714,2305,7663,6207,8555,,,,,,,,,,,,,
140.00714,2487,2997,4595,3301,,,,,,,,,,,,,
140.00714,2195,8385,5002,3963,,,,,,,,,,,,,
140.00714,1505,2015,3941,4555,,,,,,,,,,,,,
140.00714,2457,6628,8731,6811,,,,,,,,,,,,,
140.00714,3137,6381,9283,5907,,,,,,,,,,,,,
140.00714,2745,8590,5621,4240,,,,,,,,,,,,,
140.00714,3707,8275,9778,7462,,,,,,,,,,,,,
140.00714,2897,8015,7223,8443,,,,,,,,,,,,,
140.00714,1931,2357,3270,4340,,,,,,,,,,,,,
140.00714,1545,1852,4464,1898,,,,,,,,,,,,,
140.00714,3247,8506,9977,6819,,,,,,,,,,,,,
140.00714,2535,3568,5647,8499,,,,,,,,,,,,,
140.00714,2171,3767,4406,9537,,,,,,,,,,,,,
140.00714,1591,2220,3112,9383,,,,,,,,,,,,,
140.00714,4261,6173,9300,7445,,,,,,,,,,,,,
140.00714,1627,7182,2704,9492,,,,,,,,,,,,,
140.00714,3335,5519,7974,5210,,,,,,,,,,,,,
140.00714,2353,8958,7514,9196,,,,,,,,,,,,,
140.00714,2665,5211,6938,5932,,,,,,,,,,,,,
140.00714,3561,5472,7428,5193,,,,,,,,,,,,,
140.00714,3913,5716,9918,8124,,,,,,,,,,,,,
140.00714,2717,3383,5207,8899,,,,,,,,,,,,,
140.00714,1517,1952,3953,2347,,,,,,,,,,,,,
140.00714,1245,9709,2334,4599,,,,,,,,,,,,,
140.00714,839,1338,1574,9882,,,,,,,,,,,,,
140.00714,1591,2050,2460,9410,,,,,,,,,,,,,
140.00714,2237,8536,5157,4476,,,,,,,,,,,,,
140.00714,1143,8894,6941,6713,,,,,,,,,,,,,
140.00714,3057,7271,7001,5082,,,,,,,,,,,,,
140.00714,1623,9384,2798,2423,,,,,,,,,,,,,
140.00714,1169,2104,2456,2910,,,,,,,,,,,,,
140.00714,3775,5204,7438,8684,,,,,,,,,,,,,
140.00714,2195,9233,5135,4294,,,,,,,,,,,,,
140.00714,4473,7351,9950,7452,,,,,,,,,,,,,
140.00714,3597,8312,8969,6502,,,,,,,,,,,,,
140.00714,1191,4020,1788,1275,,,,,,,,,,,,,
140.00714,2063,8505,4319,2372,,,,,,,,,,,,,
140.00714,3291,7793,8222,7316,,,,,,,,,,,,,
140.00714,1775,2818,4021,3379,,,,,,,,,,,,,
140.00714,1927,3851,3759,3675,,,,,,,,,,,,,
140.00714,1533,6467,8980,3145,,,,,,,,,,,,,
140.00714,1661,7306,5261,6123,,,,,,,,,,,,,
140.00714,1549,9791,5368,4852,,,,,,,,,,,,,
140.00714,2615,5183,8069,7837,,,,,,,,,,,,,
140.00714,2299,6552,6307,4378,,,,,,,,,,,,,
140.00714,2535,4238,6331,8465,,,,,,,,,,,,,
140.00714,2113,8698,3869,8833,,,,,,,,,,,,,
140.00714,3505,8024,9491,6266,,,,,,,,,,,,,
140.00714,1733,3136,3316,9335,,,,,,,,,,,,,
140.00714,2375,7729,5358,4351,,,,,,,,,,,,,
140.00714,2471,3912,4888,4805,,,,,,,,,,,,,
140.00714,3215,8682,6581,4958,,,,,,,,,,,,,
140.00714,3127,5461,8237,5633,,,,,,,,,,,,,
140.00714,1929,2822,3718,2652,,,,,,,,,,,,,
140.00714,1627,9296,3190,8282,,,,,,,,,,,,,
140.00714,1267,3787,3511,9239,,,,,,,,,,,,,
140.00714,2785,6378,8610,7168,,,,,,,,,,,,,
140.00714,1791,7051,4569,6677,,,,,,,,,,,,,
140.00714,2199,3037,5049,3546,,,,,,,,,,,,,
140.00714,2359,3121,5226,7898,,,,,,,,,,,,,
140.00714,2799,7847,5901,4181,,,,,,,,,,,,,
140.00714,1673,2139,3018,4621,,,,,,,,,,,,,
140.00714,1473,2206,3195,2288,,,,,,,,,,,,,
140.00714,2779,8427,5984,9139,,,,,,,,,,,,,
140.00714,3023,4511,6514,8885,,,,,,,,,,,,,
140.00714,2409,4114,4151,3841,,,,,,,,,,,,,
140.00714,3679,6681,9953,5150,,,,,,,,,,,,,
140.00714,2031,3717,4656,3065,,,,,,,,,,,,,
140.00714,2289,7712,4676,7634,,,,,,,,,,,,,
140.00714,2341,2714,4926,7970,,,,,,,,,,,,,
